sample_id,System_A,System_B,System_C,System_D,System_E
GSM1691875,1730.359353793121,1582.1754897917351,811.0907516181232,848.677643397773,616.5015564773321
GSM1691876,1748.5558189812773,1570.9801340795102,920.2997096747886,874.6835007310947,535.1046167147879
GSM1691877,1811.3343161488228,1528.8120272611495,1021.8903892575554,922.713851882685,883.6856071943357
GSM1691878,1713.5430368881662,1685.853881817285,802.9233981926591,952.5873362905996,485.7979954651128
GSM1691879,1693.5424712061094,1594.9790426534837,778.2067561627255,827.6722843713696,648.2728535214601
GSM1691880,1846.932508590722,1598.917333432797,876.7380446331754,1013.1601741277344,610.6877815118869
GSM1691881,1735.669218740737,1603.006578960816,858.9189597964278,872.2432619273768,550.4263388715517
GSM1691882,1649.640602180326,1606.0536936136104,699.2963362912687,901.0745544098016,643.5503993258089
GSM1691883,1718.8674803574004,1679.2335031766895,851.4820140211732,793.4240573544866,695.1636493393698
GSM1691884,1774.4272164409483,1676.5811612959506,791.1172621692267,951.59275725922,628.7463852289884
GSM1691885,1748.6727840333506,1600.8707860293125,874.4370122682103,842.2362836159646,621.6849891332313
GSM1691886,1644.0002019128233,1528.47057464325,875.1658788787581,689.5193847123264,647.1744071320763
GSM1691887,1784.5706287319108,1594.919839705988,829.2118622445678,1021.8293461052062,508.8470924141775
GSM1691888,1753.9280867581638,1638.8679486837163,749.7318995533778,962.01195709911,581.3106463717213
GSM1691889,1824.1362574948444,1534.7826233390042,1032.270146212716,871.9208792627351,749.872147738628
GSM1691890,1676.1751432392357,1605.5437743693265,848.046910337307,718.516370292501,667.0052476198025
GSM1691891,1788.467499296522,1553.2012412266358,922.9871095628896,968.8431246858528,564.4344780283209
GSM1691892,1728.4444887481968,1595.987595039861,842.2974672108312,888.2910063633408,605.4440261484388
GSM1691893,1938.3294214396064,1508.380324945615,1055.1352808705724,1080.4305014762294,366.6054796131875
GSM1691894,1753.247690620091,1635.557761422535,774.7596003537938,1010.7788384381548,563.0776569972695
GSM1691895,1801.508690263216,1682.915158625251,884.8013108461118,967.779018817494,462.6072281929282
GSM1691896,1758.3128214922535,1523.796920840583,825.4352930888435,1021.6910964700156,456.3601752201876
GSM1691897,1788.8394540373902,1652.1812887248798,713.0068671593226,929.13607241088,419.5651171239761
GSM1691898,1867.1583583772035,1547.2849731193892,988.81426209234,941.4594928310462,937.7004262564204
GSM1691899,1774.4763329272882,1675.3087860712085,780.0722992055498,935.2417043442548,611.4347129932621
GSM1691900,1804.2832096449429,1662.4812544637834,750.734695247219,965.8421597391698,570.5078390080716
GSM1691901,1632.1297318425925,1492.278162528116,762.8469807135443,779.2854072604259,568.6283616647252
GSM1691902,1695.1508503409905,1615.6657213604294,763.6202127640763,786.0487052719618,589.6472941064458
GSM1691903,1729.8758307895068,1594.1604749446078,804.0830987244653,967.3939946446662,500.8435424723593
GSM1691904,1812.6336728970016,1603.903652850736,961.0914959325984,902.2296842378082,598.7169496302158
GSM1691905,1695.667804271453,1545.835056098349,923.7081603423094,740.8519747691553,748.9069182718276
GSM1691906,1709.8978994843856,1600.6176134116513,830.2527198760299,786.1538442540632,547.5683854700419
GSM1691907,1605.693305393621,1470.6498365146308,825.054401312108,603.1488572021317,582.5902629406937
GSM1691908,1733.8841543565668,1624.8711933988134,770.7898714066587,971.1597352281568,568.1736513931346
GSM1691909,1753.7277953106022,1561.8253241291604,1057.8205165153777,835.2736118287721,921.7954725044684
GSM1691910,1726.2827351876222,1572.7341728786168,756.3754249124058,868.2086814348368,528.9616188603077
GSM1691911,1734.2172391222775,1650.7699459812284,908.7393408332229,763.0077420689904,615.9086472798881
GSM1691912,1712.2772473373598,1546.4286083451834,849.118750656703,799.9506688827751,611.2640388212831
GSM1691913,1696.1995832246655,1574.443987317939,757.164441918474,737.0238751833294,708.9936993464371
GSM1691914,1799.406997513326,1626.060464944644,731.7109463683591,929.6670313665436,453.6688608771665
GSM1691915,1808.4560443818264,1613.363249183728,987.3397962787458,1001.4305984964612,357.7731937843628
GSM1691916,1708.7978905127848,1516.0539847113969,930.3059017529622,698.9700463914478,780.9598584306577
GSM1691917,1733.6436886735646,1486.795594465092,963.448741186502,890.4510293922431,524.8856219438494
GSM1691918,1776.844572911622,1517.4954751071964,969.2655532472818,852.6826269184721,688.8505628084495
GSM1691919,1727.3367414151137,1556.344015843354,893.8762485838934,818.8095318585192,656.841450361113
GSM1691920,1707.629054671026,1678.0023403215746,786.9163948762152,968.9885125407064,511.8335905451404
GSM1691921,1693.3436608053153,1511.10693861257,960.275929700546,754.2668815161733,806.816098700343
GSM1691922,1783.7227606085344,1600.702261109991,876.1067590886605,965.661201695868,500.0396479684832
GSM1691923,1647.86936029585,1573.4168139736994,790.2939275859499,678.6789240234602,690.8776717185956
GSM1691924,1751.5841812528952,1501.4143915536442,862.838247876396,913.1770569224728,491.3578771927696
GSM1691925,1753.5713675951529,1521.266250972919,860.5045631665234,815.8037109768102,662.1601270839983
GSM1691926,1751.7499595631334,1583.675527325771,831.1244154575088,849.0487574676827,568.1682949457745
GSM1691927,1794.9768133325388,1486.4512693628112,931.8101299854188,868.3038202519701,546.1037949897454
GSM1691928,1849.236986001455,1652.4635050690276,905.0420195141014,913.3619201520868,502.5574094620697
GSM1691929,1800.2572272343405,1616.5100147342691,867.2677412222511,1024.96769201002,490.40840177486734
GSM1691930,1766.5955059792625,1510.275463538177,818.6616281153301,977.6820418295548,491.1321100768264
GSM1691932,1776.0287526046422,1566.636174147773,854.6202739590581,988.2024808106862,506.8408392297733
GSM1691933,1727.1907971915523,1399.6586154825443,996.3211577228868,830.0465074240528,1100.2309550315422
GSM1691934,1768.6689919025291,1620.4837997196155,924.1823449848252,824.3042986757746,623.3225044109622
